,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position,Name,Rotowire Name,Full Name,Starter
95,61800-101838:JT Brubaker,61800-101838,P,JT,JT Brubaker,Brubaker,26.2352941176471,17.0,6800,NYM@PIT,PIT,NYM,,,,Yes,,P,,,,
96,61800-135191:Josh Fleming,61800-135191,P,Josh,Josh Fleming,Fleming,19.9333333333333,15.0,6700,TB@ATL,TB,ATL,,,,,,P,,,,
97,61800-12455:Josh Tomlin,61800-12455,P,Josh,Josh Tomlin,Tomlin,4.85714285714286,28.0,6700,TB@ATL,ATL,TB,,,,,,P,,,,
98,61800-152888:Sammy Long,61800-152888,P,Sammy,Sammy Long,Long,22.4,5.0,6700,SF@STL,SF,STL,IL,Back,,,,P,,,,
99,61800-66766:Adrian Houser,61800-66766,P,Adrian,Adrian Houser,Houser,22.7777777777778,18.0,6600,MIL@CIN,MIL,CIN,,,,,,P,,,,
100,61800-60627:Touki Toussaint,61800-60627,P,Touki,Touki Toussaint,Toussaint,13.5714285714286,7.0,6600,TB@ATL,ATL,TB,,,,,,P,,,,
101,61800-13727:Josh Lindblom,61800-13727,P,Josh,Josh Lindblom,Lindblom,5.875,8.0,6600,MIL@CIN,MIL,CIN,,,,,,P,,,,
102,61800-5767:J.A. Happ,61800-5767,P,J.A.,J.A. Happ,Happ,20.75,16.0,6600,MIN@DET,MIN,DET,,,,Yes,,P,,,,
103,61800-102355:Jorge Alcala,61800-102355,P,Jorge,Jorge Alcala,Alcala,4.30555555555556,36.0,6600,MIN@DET,MIN,DET,,,,,,P,,,,
104,61800-102530:Spencer Howard,61800-102530,P,Spencer,Spencer Howard,Howard,11.5555555555556,9.0,6500,MIA@PHI,PHI,MIA,,,,,,P,,,,
105,61800-12921:Chris Archer,61800-12921,P,Chris,Chris Archer,Archer,11.0,2.0,6500,TB@ATL,TB,ATL,IL,Forearm,,,,P,,,,
106,61800-68527:Jose De Leon,61800-68527,P,Jose,Jose De Leon,De Leon,11.4444444444444,9.0,6500,MIL@CIN,CIN,MIL,,,,,,P,,,,
107,61800-154714:Tylor Megill,61800-154714,P,Tylor,Tylor Megill,Megill,27.8,5.0,6500,NYM@PIT,NYM,PIT,,,,,,P,,,,
108,61800-5283:Ervin Santana,61800-5283,P,Ervin,Ervin Santana,Santana,7.05263157894737,19.0,6500,BAL@KC,KC,BAL,,,,,,P,,,,
109,61800-62872:Vince Velasquez,61800-62872,P,Vince,Vince Velasquez,Velasquez,19.7894736842105,19.0,6500,MIA@PHI,PHI,MIA,,,,,,P,,,,
110,61800-82636:Joey Lucchesi,61800-82636,P,Joey,Joey Lucchesi,Lucchesi,17.0,11.0,6400,NYM@PIT,NYM,PIT,IL,Elbow,,,,P,,,,
111,61800-60656:Jeff Hoffman,61800-60656,P,Jeff,Jeff Hoffman,Hoffman,18.0909090909091,11.0,6400,MIL@CIN,CIN,MIL,IL,Shoulder,,,,P,,,,
112,61800-102447:Dean Kremer,61800-102447,P,Dean,Dean Kremer,Kremer,14.3333333333333,12.0,6300,BAL@KC,BAL,KC,,,,,,P,,,,
113,61800-39686:Carlos Martinez,61800-39686,P,Carlos,Carlos Martinez,Martinez,18.6875,16.0,6300,SF@STL,STL,SF,IL,Thumb,,,,P,,,,
114,61800-52728:Michael Lorenzen,61800-52728,P,Michael,Michael Lorenzen,Lorenzen,9.0,1.0,6300,MIL@CIN,CIN,MIL,DTD,Hamstring,,,,P,,,,
115,61800-84476:Daniel Ponce de Leon,61800-84476,P,Daniel,Daniel Ponce de Leon,Ponce de Leon,4.29411764705882,17.0,6200,SF@STL,STL,SF,IL,Shoulder,,,,P,,,,
116,61800-38246:Tyler Anderson,61800-38246,P,Tyler,Tyler Anderson,Anderson,26.1764705882353,17.0,6200,NYM@PIT,PIT,NYM,,,,,,P,,,,
117,61800-71188:Steven Brault,61800-71188,P,Steven,Steven Brault,Brault,18.9090909090909,11.0,6200,NYM@PIT,PIT,NYM,IL,Lat,,,,P,,,,
118,61800-5764:Derek Holland,61800-5764,P,Derek,Derek Holland,Holland,4.05882352941176,17.0,6200,MIN@DET,DET,MIN,,,,,,P,,,,
119,61800-80409:Paolo Espino,61800-80409,P,Paolo,Paolo Espino,Espino,9.14285714285714,21.0,6100,SD@WSH,WSH,SD,,,,,,P,,,,
120,61800-12946:Matt Moore,61800-12946,P,Matt,Matt Moore,Moore,11.0769230769231,13.0,6100,MIA@PHI,PHI,MIA,,,,,,P,,,,
121,61800-66765:Jorge Lopez,61800-66765,P,Jorge,Jorge Lopez,Lopez,19.3157894736842,19.0,6100,BAL@KC,BAL,KC,,,,,,P,,,,
122,61800-38101:Tanner Roark,61800-38101,P,Tanner,Tanner Roark,Roark,7.0,3.0,6100,TB@ATL,ATL,TB,,,,,,P,,,,
