,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
138,James Robinson,JAX,23,rb,1,1,6,3,50.0%,29,9.7,0,1,15,4.8,3.0,29.0,1
139,Anthony Schwartz,CLE,21,,1,0,5,3,60.0%,69,23.0,0,2,44,13.8,3.0,69.0,0
140,Devin Singletary,BUF,24,,1,0,5,3,60.0%,8,2.7,0,0,5,1.6,3.0,8.0,2
141,Keith Smith,ATL,29,,1,0,3,3,100.0%,18,6.0,0,1,9,6.0,3.0,18.0,0
142,Adam Trautman,NOR,24,te,1,1,6,3,50.0%,18,6.0,0,0,8,3.0,3.0,18.0,0
143,Marquez Valdes-Scantling,GNB,27,wr,1,1,8,3,37.5%,17,5.7,0,2,10,2.1,3.0,17.0,0
144,Quez Watkins,PHI,23,wr,1,1,3,3,100.0%,23,7.7,0,2,11,7.7,3.0,23.0,0
145,Ty'Son Williams,BAL,25,rb,1,1,4,3,75.0%,29,9.7,0,1,21,7.3,3.0,29.0,0
146,Cedrick Wilson Jr.,DAL,26,,1,0,3,3,100.0%,24,8.0,0,1,13,8.0,3.0,24.0,0
147,Robert Woods,LAR,29,wr,1,1,4,3,75.0%,27,9.0,1,2,19,6.8,3.0,27.0,0
148,Ameer Abdullah,MIN,28,,1,0,2,2,100.0%,15,7.5,0,1,10,7.5,2.0,15.0,0
149,Salvon Ahmed,MIA,23,,1,0,3,2,66.7%,24,12.0,0,1,18,8.0,2.0,24.0,0
150,Dan Arnold,CAR,26,te,1,1,3,2,66.7%,6,3.0,0,0,5,2.0,2.0,6.0,0
151,Giovani Bernard,TAM,30,,1,0,3,2,66.7%,12,6.0,0,1,8,4.0,2.0,12.0,0
152,Devontae Booker,NYG,29,,2,0,2,2,100.0%,8,4.0,0,0,6,4.0,1.0,4.0,0
154,Nick Chubb,CLE,26,rb,1,1,2,2,100.0%,18,9.0,0,2,10,9.0,2.0,18.0,1
155,Chris Conley,HOU,29,wr,1,1,2,2,100.0%,27,13.5,0,1,17,13.5,2.0,27.0,0
156,Gabriel Davis,BUF,22,wr,1,1,5,2,40.0%,40,20.0,1,2,37,8.0,2.0,40.0,0
157,Ezekiel Elliott,DAL,26,rb,1,1,2,2,100.0%,6,3.0,0,0,3,3.0,2.0,6.0,0
158,Zach Ertz,PHI,31,,1,0,2,2,100.0%,34,17.0,0,1,28,17.0,2.0,34.0,0
159,Gerald Everett,SEA,27,te,1,1,2,2,100.0%,20,10.0,1,2,11,10.0,2.0,20.0,0
160,Kenneth Gainwell,PHI,22,,1,0,3,2,66.7%,6,3.0,0,0,9,2.0,2.0,6.0,0
