Rotowire Name,Full Name,Starter,Team
Joey Gallo,Joey Gallo,1,NYY
C. Burnes,Corbin Burnes,1,
N. Castellanos,Nick Castellanos,1,
T. Barnhart,Tucker Barnhart,1,
Sonny Gray,Sonny Gray,1,
Brandon Lowe,Brandon Lowe,1,
K. Kiermaier,Kevin Kiermaier,1,
Rich Hill,Rich Hill,1,
E. Adrianza,Ehire Adrianza,1,
Drew Smyly,Drew Smyly,1,
Seby Zavala,Seby Zavala,1,
D. Mendick,Danny Mendick,1,
K. Gutierrez,Kelvin Gutierrez,1,
H. Alberto,Hanser Alberto,1,
Johnny Cueto,Johnny Cueto,1,
Wade LeBlanc,Wade LeBlanc,1,
David Price,David Price,1,
Jon Gray,Jon Gray,1,
Luis Rengifo,Luis Rengifo,1,
Jed Lowrie,Jed Lowrie,1,
Sean Murphy,Sean Murphy,1,
Zach Davies,Zach Davies,1,
Kole Calhoun,Kole Calhoun,1,
S. Marte,Starling Marte,1,
G. Cooper,Garrett Cooper,1,
J. Aguilar,Jesus Aguilar,1,
Nick Neidert,Nick Neidert,1,
G. Parra,Gerardo Parra,1,
Tres Barrera,Tres Barrera,1,
Jon Lester,Jon Lester,1,
K. Plawecki,Kevin Plawecki,1,
D. Santana,Danny Santana,1,
M. Semien,Marcus Semien,1,TOR
Bo Bichette,Bo Bichette,1,TOR
V. Guerrero,Vladimir Guerrero Jr.,1,TOR
G. Springer,George Springer,1,TOR
T. Hernandez,Teoscar Hernandez,1,TOR
R. Grichuk,Randal Grichuk,1,TOR
Cavan Biggio,Cavan Biggio,1,TOR
L. Gurriel,Lourdes Gurriel Jr.,1,TOR
R. McGuire,Reese McGuire,1,TOR
I. Kiner-Falefa,Isiah Kiner-Falefa,1,TEX
Nick Solak,Nick Solak,1,TEX
C. Culberson,Charlie Culberson,1,
David Dahl,David Dahl,1,
Jonah Heim,Jonah Heim,1,
Eli White,Eli White,1,
Akil Baddoo,Akil Baddoo,1,
J. Schoop,Jonathan Schoop,1,
R. Grossman,Robbie Grossman,1,
M. Cabrera,Miguel Cabrera,1,
J. Candelario,Jeimer Candelario,1,
I. Paredes,Isaac Paredes,1,
J. Eickhoff,Jerad Eickhoff,1,
V. Gutierrez,Vladimir Gutierrez,1,
Joey Wendle,Joey Wendle,1,
Mike Zunino,Mike Zunino,1,
Yu Darvish,Yu Darvish,1,
Stephen Vogt,Stephen Vogt,1,
Kyle Muller,Kyle Muller,1,
C. Hernandez,Cesar Hernandez,1,
F. Reyes,Franmil Reyes,1,CLE
B. Bradley,Bobby Bradley,1,
H. Ramirez,Harold Ramirez,1,
O. Mercado,Oscar Mercado,1,
R. Perez,Roberto Perez,1,
B. Zimmer,Bradley Zimmer,1,
W. Contreras,Willson Contreras,1,
A. Rizzo,Anthony Rizzo,1,NYY
P. Wisdom,Patrick Wisdom,1,
J. Heyward,Jason Heyward,1,
Alec Mills,Alec Mills,1,
J. Woodford,Jake Woodford,1,
B. Marsh,Brandon Marsh,1,
M. Moreland,Mitch Moreland,1,
R. Laureano,Ramon Laureano,1,
P. Evans,Phillip Evans,1,
C. De Jong,Chase De Jong,1,
E. Escobar,Eduardo Escobar,1,
C. Walker,Christian Walker,1,
Andrew Young,Andrew Young,1,
D. Varsho,Daulton Varsho,1,
Caleb Smith,Caleb Smith,1,
Buster Posey,Buster Posey,1,SF
A. Dickerson,Alex Dickerson,1,
K. Gausman,Kevin Gausman,1,
Z. McKinstry,Zach McKinstry,1,
T. Gonsolin,Tony Gonsolin,1,
Mike Minor,Mike Minor,1,KC
B. Anderson,Brett Anderson,1,MIL
J. Realmuto,J.T. Realmuto,1,PHI
A. McCutchen,Andrew McCutchen,1,PHI
D. Gregorius,Didi Gregorius,1,PHI
R. Torreyes,Ronald Torreyes,1,PHI
Brad Miller,Brad Miller,1,PHI
T. Jankowski,Travis Jankowski,1,PHI
Tyler Wade,Tyler Wade,1,NYY
M. Sierra,Magneuris Sierra,1,MIA
T. Rogers,Trevor Rogers,1,MIA
Josh Bell,Josh Bell,1,WSH
Paolo Espino,Paolo Espino,1,WSH
J. Villar,Jonathan Villar,1,NYM
Robert Stock,Robert Stock,1,NYM
Wade Miley,Wade Miley,1,CIN
Vidal Brujan,Vidal Brujan,1,TB
J. Polanco,Jorge Polanco,1,MIN
J. Donaldson,Josh Donaldson,1,MIN
T. Larnach,Trevor Larnach,1,MIN
Mitch Garver,Mitch Garver,1,MIN
A. Simmons,Andrelton Simmons,1,MIN
G. Celestino,Gilberto Celestino,1,MIN
T. Williams,Trevor Williams,1,CHC
Johan Oviedo,Johan Oviedo,1,STL
M. Gonzales,Marco Gonzales,1,SEA
G. Marquez,German Marquez,1,SEA
T. Widener,Taylor Widener,1,ARI
Alex Wood,Alex Wood,1,SF
Josiah Gray,Josiah Gray,1,LAD
C. Paddack,Chris Paddack,1,SD
M. Stroman,Marcus Stroman,1,NYM
Jeff Hoffman,Jeff Hoffman,1,CIN
Brad Keller,Brad Keller,1,KC
Eric Lauer,Eric Lauer,1,MIL
K. Middleton,Keynan Middleton,1,SEA
A. Gomber,Austin Gomber,1,COL
Max Kranick,Max Kranick,1,PIT
D. Peralta,David Peralta,1,ARI
M. Bumgarner,Madison Bumgarner,1,ARI
Reiss Knehr,Reiss Knehr,1,SD
Bryse Wilson,Bryse Wilson,1,ATL
L. Williams,Luke Williams,1,PHI
Ryan LaMarre,Ryan LaMarre,1,NYY
J. Holloway,Jordan Holloway,1,MIA
Erick Fedde,Erick Fedde,1,WSH
Brock Holt,Brock Holt,1,TEX
A. Kirilloff,Alex Kirilloff,1,MIN
R. Ortega,Rafael Ortega,1,CHC
K. Hendricks,Kyle Hendricks,1,CHC
A. Wainwright,Adam Wainwright,1,STL
M. Tauchman,Mike Tauchman,1,SF
Logan Webb,Logan Webb,1,SF
Julio Urias,Julio Urias,1,LAD
Andy Ibanez,Andy Ibanez,1,TEX
Willi Castro,Willi Castro,1,DET
Victor Reyes,Victor Reyes,1,DET
C. Morton,Charlie Morton,1,ATL
Matt Moore,Matt Moore,1,PHI
L. Brinson,Lewis Brinson,1,MIA
Z. Thompson,Zach Thompson,1,MIA
J. Marisnick,Jake Marisnick,1,CHC
A. Alzolay,Adbert Alzolay,1,CHC
Zac Gallen,Zac Gallen,1,ARI
Ryan McKenna,Ryan McKenna,1,BAL
O. Herrera,Odubel Herrera,1,PHI
Zack Wheeler,Zack Wheeler,1,PHI
E. Florial,Estevan Florial,1,NYY
A. Aquino,Aristides Aquino,1,CIN
Tyler Mahle,Tyler Mahle,1,CIN
Steven Matz,Steven Matz,1,TOR
Austin Nola,Austin Nola,1,SD
Joe Musgrove,Joe Musgrove,1,SD
L. Giolito,Lucas Giolito,1,CWS
F. Peralta,Freddy Peralta,1,MIL
Justin Upton,Justin Upton,1,LAA
Nick Gordon,Nick Gordon,1,MIN
N. Lowe,Nathaniel Lowe,1,TEX
Chad Kuhl,Chad Kuhl,1,PIT
S. Piscotty,Stephen Piscotty,1,OAK
Jacob Wilson,Jacob Wilson,1,OAK
C. Gonzalez,Chi Chi Gonzalez,1,COL
A. Almonte,Abraham Almonte,1,ATL
A. Stevenson,Andrew Stevenson,1,WAS
Joe Ross,Joe Ross,1,WAS
Alec Bohm,Alec Bohm,1,PHI
S. Howard,Spencer Howard,1,PHI
A. Kirk,Alejandro Kirk,1,TOR
Eloy Jimenez,Eloy Jimenez,1,CWS
B. Hamilton,Billy Hamilton,1,CWS
Brent Rooker,Brent Rooker,1,MIN
Jake Cave,Jake Cave,1,MIN
N. Tropeano,Nick Tropeano,1,NYM
Matt Adams,Matt Adams,1,COL
Isan Diaz,Isan Diaz,1,MIA
M. Franco,Maikel Franco,1,BAL
C. Kieboom,Carter Kieboom,1,WAS
T. Taylor,Tyrone Taylor,1,MIL
Keston Hiura,Keston Hiura,1,MIL
Manny Pina,Manny Pina,1,MIL
T. Anderson,Tyler Anderson,1,MIL
M. Chavis,Michael Chavis,1,BOS
Edmundo Sosa,Edmundo Sosa,1,STL
A. Hedges,Austin Hedges,1,CLE
D. Johnson,Daniel Johnson,1,CLE
A. Banda,Anthony Banda,1,NYM
Gio Urshela,Gio Urshela,1,NYY
J. VanMeter,Josh VanMeter,1,ARI
A. Cabrera,Asdrubal Cabrera,1,ARI
Josh Reddick,Josh Reddick,1,ARI
Jose Trevino,Jose Trevino,1,TEX
J. Fuentes,Joshua Fuentes,1,COL
B. McKinney,Billy McKinney,1,LAD
J. Kaprielian,James Kaprielian,1,OAK
M. Carpenter,Matt Carpenter,1,STL
G. Greiner,Grayson Greiner,1,DET
W. Astudillo,Willians Astudillo,1,MIN
Aledmys Diaz,Aledmys Diaz,1,HOU
Sean Manaea,Sean Manaea,1,OAK
Lorenzo Cain,Lorenzo Cain,1,MIL
A. Houser,Adrian Houser,1,MIL
Aaron Judge,Aaron Judge,1,NYY
M. Margot,Manuel Margot,1,TB
Max Scherzer,Max Scherzer,1,WAS
V. Velasquez,Vince Velasquez,1,PHI
T. Walker,Taijuan Walker ,1,NYM
R. Castro,Rodolfo Castro,1,PIT
J. Profar,Jurickson Profar,1,SD
Matt Duffy,Matt Duffy,1,CHC
David Bote,David Bote,1,CHC
Yan Gomes,Yan Gomes,1,WSH
C. Carrasco,Carlos Carrasco,1,NYM
J. Taillon,Jameson Taillon,1,NYY
T. Toussaint,Touki Toussaint,1,ATL
Curtis Terry,Curtis Terry,1,TEX
E. Clement,Ernie Clement,1,CLE
Jose Berrios,Jose Berrios,1,MIN
Matt Beaty,Matt Beaty,1,LAD
F. Valdez,Framber Valdez,1,HOU
R. Weathers,Ryan Weathers,1,SD
Jo Adell,Jo Adell,1,LAA
Luke Voit,Luke Voit,1,NYY
A. Velazquez,Andrew Velazquez,1,NYY
K. Higashioka,Kyle Higashioka,1,NYY
J. Davis,Jonathan Davis,1,NYY
F. Schwindel,Frank Schwindel,1,CHC
R. Chirinos,Robinson Chirinos,1,CHC
J. Fargas,Johneshwy Fargas,1,CHC
S. Alcantara,Sergio Alcantara,1,CHC
J. Steele,Justin Steele,1,CHC
T. d'Arnaud,Travis d'Arnaud,1,ATL
J. Chisholm,Jazz Chisholm,1,MIA
Alex Jackson,Alex Jackson,1,MIA
B. De La Cruz,Bryan De La Cruz,1,MIA
B. Garrett,Braxton Garrett,1,MIA
Jorge Mateo,Jorge Mateo,1,BAL
V. Machin,Vimael Machin,1,OAK
Luis Robert,Luis Robert,1,CWS
C. McCormick,Chas McCormick,1,HOU
Jake Meyers,Jake Meyers,1,HOU
E. Rivera,Emmanuel Rivera,1,KC
Owen Miller,Owen Miller,1,CLE
A. Gimenez,Andres Gimenez,1,CLE
Connor Joe,Connor Joe,1,COL
Y. Daza,Yonathan Daza,1,COL
A. Senzatela,Antonio Senzatela,1,COL
E. Longoria,Evan Longoria,1,SF
S. Brault,Steven Brault,1,PIT
Corey Seager,Corey Seager,1,LAD
B. Graterol,Brusdar Graterol,1,LAD
K. Schwarber,Kyle Schwarber,1,BOS
Travis Shaw,Travis Shaw,1,BOS
S. Espinal,Santiago Espinal,1,TOR
Alek Manoah,Alek Manoah,1,TOR
Y. Hernandez,Yadiel Hernandez,1,WAS
Luis Garcia,Luis Garcia,1,WAS
F. Cordero,Franchy Cordero,1,BOS
Renato Nunez,Renato Nunez,1,DET
M. Moustakas,Mike Moustakas,1,CIN
Huascar Ynoa,Huascar Ynoa,1,ATL
J. Sanchez,Jesus Sanchez,1,MIA
J. Luplow,Jordan Luplow,1,TB
DJ Peters,DJ Peters,1,TEX
Yohel Pozo,Yohel Pozo,1,TEX
Jake Lamb,Jake Lamb,1,CWS
Matt Strahm,Matt Strahm,1,SD
Sam Hilliard,Sam Hilliard,1,COL
Kyle Gibson,Kyle Gibson,1,PHI
Carson Kelly,Carson Kelly,1,ARI
Ketel Marte,Ketel Marte,1,ARI
Brandon Belt,Brandon Belt,1,SF
T. La Stella,Tommy La Stella,1,SF
Y. Tsutsugo,Yoshi Tsutsugo,1,PIT
M. Hermosillo,Michael Hermosillo,1,CHC
Yu Chang,Yu Chang,1,
Jake Arrieta,Jake Arrieta,1,SD
C. Dickerson,Corey Dickerson,1,TOR
Riley Adams,Riley Adams,1,WAS
J. Luzardo,Jesus Luzardo,1,MIA
L. Nootbaar,Lars Nootbaar,1,STL
J. Flaherty,Jack Flaherty,1,STL
R. Suarez,Ranger Suarez,1,PHI
H. Castellanos,Humberto Castellanos,1,ARI
Colin Moran,Colin Moran,1,PIT
Hoy Park,Hoy Park,1,PIT
JT Brubaker,JT Brubaker,1,PIT
Mitch White,Mitch White,1,LAD
Jason Martin,Jason Martin,1,TEX
R. Refsnyder,Rob Refsnyder,1,MIN
Daz Cameron,Daz Cameron,1,DET
Otto Lopez,Otto Lopez,1,TOR
Lane Thomas,Lane Thomas,1,wAS
Mitch Keller,Mitch Keller,1,PIT
M. Mikolas,Miles Mikolas ,1,STL
Drew Ellis,Drew Ellis,1,ARI
T. Gilbert,Tyler Gilbert,1,ARI
Kris Bubic,Kris Bubic,1,KC
K. Thompson,Keegan Thompson,1,CHC
P. Mazeika,Patrick Mazeika,1,NYM
D. Peters,Dillion Peters,1,PIT
Austin Dean,Austin Dean,1,STL
J.A. Happ,J.A. Happ,1,STL
Aaron Nola,Aaron Nola,1,PHI
Sean Nolin,Sean Nolin,1,WAS
Tom Murphy,Tom Murphy,1,SEA
H. Mejia,Humberto Mejia,1,ARI
J. Montgomery,Jordan Montgomery,1,NYY
Chad Pinder,Chad Pinder,1,OAK
D. Rasmussen,Drew Rasmussen,1,TB
A. Alford,Anthony Alford,1,PIT
Sammy Long,Sammy Long,1,SF
A. Heaney,Andrrew Heaney,1,NYY
D. Garneau,Dustin Garneau,1,DET
Casey Mize,Casey Mize,1,DET
Tarik Skubal,Tarik Skubal,1,DET
Alex Bregman,Alex Bregman,1,HOU
A. Romine,Austin Romine,1,CHC
R. Yarbrough,Ryan Yarbrough,1,TB
E. Cabrera,Asdrubal Cabrera,1,ARI
Jahmai Jones,Jahmai Jones,1,BAL
Kevin Smith,Kevin Smith,1,TOR
Zach Eflin,Zach Eflin,1,PHI
A. Jackson,Andre Jackson,1,LAD
Byron Buxton,Byron Buxton,1,MIN
F. Galvis,Freddy Galvis,1,PHI
Keibert Ruiz,Keibert Ruiz,1,WAS
J. Arauz,Jonathan Arauz,1,BOS
T. Motter,Taylor Motter,1,COL
Max Schrock,Max Schrock,1,CIN
B. Valera,Breyvic Valera,1,TOR
Yairo Munoz,Yairo Munoz,1,BOS
L. Taveras,Leody Taveras,1,TEX
Y. Grandal,Yasmani Grandal,1,CWS
J. Quintana,Jose Quintana,1,SF
A. Knizner,Andrew Knizner,1,STL
Luke Weaver,Luke Weaver,1,ARI
D. DeShields,Delino DeShields,1,CIN
Danny Jansen,Danny Jansen,1,TOR
Cole Tucker,Cole Tucker,1,PIT
A. Mondesi,Adalberto Mondesi,1,KC
Niko Goodrum,Niko Goodrum,1,DET
Jack Lopez,Jack Lopez,1,BOS
J. Marmolejos,Jose Marmolejos,1,SEA
Jose Urquidy,Jose Urquidy,1,HOU
Kevin Pillar,Kevin Pillar,1,NYM
A. Almora,Albert Almora,1,NYM
M. Yajure,Miguel Yajure,1,PIT
Josh Rogers,Josh Rogers,1,WAS
Luke Maile,Luke Maile,1,MIL
Matthew Boyd,Matthew Boyd,1,DET
Ian Anderson,Ian Anderson,1,ATL
Khris Davis,Khris Davis,1,OAK
Sam Coonrod,Sam Coonrod,1,PHI
Ryan Feltner,Ryan Feltner,1,COL
Chris Flexen,Chris Flexen,1,SEA
Wily Peralta,Wily Peralta,1,DET
E. Olivares,Edward Olivares,1,KC
A. Sampson,Adrian Sampson,1,CHC
Corey Knebel,Corey Knebel,1,LAD
P. Naughton,Packy Naughton,1,LAA
K. Arihara,Kohei Arihara,1,TEX
Matt Manning,Matt Manning,1,DET
Jimmy Herget,Jimmy Herget,1,LAA
D. Leone,Dominic Leone,1,SF
B. Falter,Bailey Falter,1,PHI
D. Vogelbach,Daniel Vogelbach,1,MIL
Lewin Diaz,Lewin Diaz,1,MIA
E. Rosario,Eddie Rosario,1,ATL
Josh Lowe,Josh Lowe,1,TB
Jose Barrero,Jose Barrero,1,CIN
Corey Kluber,Corey Kluber,1,NYY
Henry Ramos,Henry Ramos,1,ARI
Steven Souza,Steven Souza,1,LAD
C. Kershaw,Clayton Kershaw,1,LAD
Austin Wynns,Austin Wynns,1,BAL
A. Rivas,Alfonso Rivas,1,CHC
Jose Siri,Jose Siri,1,HOU
M. Kelly,Merrill Kelly,1,ARI
C. Overton,Connor Overton,1,PIT
Kyle Isbel,Kyle Isbel,1,KC
A. Medina,Adonis Medina ,1,PHI
R. Gonzalez,Romy Gonzalez,1,CWS
C. Welker,Colton Welker,1,COL
Payton Henry,Payton Henry,1,MIA
Eddy Alvarez,Eddy Alvarez,1,MIA
W. Calhoun,Willie Calhoun,1,TEX
Pablo Reyes,Pablo Reyes,1,MIL
Ryan Vilade,Ryan Vilade,1,COL
John Means,John Means,1,BAL
M. Vierling,Matt Vierling,1,PHI
Andrew Knapp,Andrew Knapp,1,PHI
M. Perez,Michael Perez,1,PIT
Dillon Tate,Dillon Tate,1,BAL
Griffin Jax,Griffin Jax,1,MIN
Jesse Chavez,Jesse Chavez,1,ATL
Keegan Akin,Keegan Akin,1,BAL
Joe Ryan,Joe Ryan,1,MIN
Scott Kazmir,Scott Kazmir,1,SF
T. Thompson,Trayce Thompson,1,CHC
Sam Howard,Sam Howard,1,PIT
TJ Friedl,TJ Friedl,1,CIN
P. Lambert,Peter Lambert,1,COL
P. Johnson,Pierce Johnson,1,SD
