entry_id,contest_id,contest_name,P,C/1B,2B,3B,SS,OF,OF,OF,UTIL,"","Instructions"
"2579332778","64523-249008707","$2K Sat MLB Bunt (Single Entry)","64523-101804","64523-49523","64523-13378","64523-61553","64523-60672","64523-82536","64523-79082","64523-53401","64523-11334","","1) Edit your lineup by inserting any player from this list into their appropriate position columns"
"","","","","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited"
"","","","","","","","","","","","","","4) You can not use this form to create new entries"
"","","","","","","","","","","","",""
"","","","","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
"","","","","","","","","","","","","",64523-5498:Johnny Cueto,64523-5498,P,Johnny,Johnny Cueto,Cueto,25.095238095238095,21,8100,SF@COL,SF,COL,IL,Elbow,,,,P
"","","","","","","","","","","","","",64523-52174:Steven Matz,64523-52174,P,Steven,Steven Matz,Matz,27.571428571428573,28,8000,TOR@MIN,TOR,MIN,,,,,,P
"","","","","","","","","","","","","",64523-79073:Mike Soroka,64523-79073,P,Mike,Mike Soroka,Soroka,17,3,8000,ATL@SD,ATL,SD,IL,Achilles,,,,P
"","","","","","","","","","","","","",64523-79078:Ian Anderson,64523-79078,P,Ian,Ian Anderson,Anderson,29.458333333333332,24,8000,ATL@SD,ATL,SD,,,,,,P
"","","","","","","","","","","","","",64523-79226:Eric Lauer,64523-79226,P,Eric,Eric Lauer,Lauer,26.916666666666668,24,8000,NYM@MIL,MIL,NYM,,,,,,P
"","","","","","","","","","","","","",64523-38311:Ross Stripling,64523-38311,P,Ross,Ross Stripling,Stripling,20,23,8000,TOR@MIN,TOR,MIN,,,,,,P
"","","","","","","","","","","","","",64523-102287:Kyle Muller,64523-102287,P,Kyle,Kyle Muller,Muller,20,10,8000,ATL@SD,ATL,SD,,,,,,P
"","","","","","","","","","","","","",64523-102498:Patrick Sandoval,64523-102498,P,Patrick,Patrick Sandoval,Sandoval,27.764705882352942,17,7900,SEA@LAA,LAA,SEA,IL,Back,,,,P
"","","","","","","","","","","","","",64523-102474:Eli Morgan,64523-102474,P,Eli,Eli Morgan,Morgan,21.1875,16,7800,CWS@CLE,CLE,CWS,,,,Yes,,P
"","","","","","","","","","","","","",64523-21097:Taijuan Walker,64523-21097,P,Taijuan,Taijuan Walker,Walker,24.166666666666668,30,7800,NYM@MIL,NYM,MIL,,,,,,P
"","","","","","","","","","","","","",64523-13123:Alex Cobb,64523-13123,P,Alex,Alex Cobb,Cobb,29.764705882352942,17,7800,SEA@LAA,LAA,SEA,,,,,,P
"","","","","","","","","","","","","",64523-95115:Josh Rogers,64523-95115,P,Josh,Josh Rogers,Rogers,31.25,4,7800,WSH@CIN,WSH,CIN,,,,,,P
"","","","","","","","","","","","","",64523-154714:Tylor Megill,64523-154714,P,Tylor,Tylor Megill,Megill,25.41176470588235,17,7800,NYM@MIL,NYM,MIL,,,,,,P
"","","","","","","","","","","","","",64523-81490:Chris Flexen,64523-81490,P,Chris,Chris Flexen,Flexen,26.633333333333333,30,7800,SEA@LAA,SEA,LAA,,,,,,P
"","","","","","","","","","","","","",64523-52873:Joe Ross,64523-52873,P,Joe,Joe Ross,Ross,25.59090909090909,22,7800,WSH@CIN,WSH,CIN,IL,Elbow,,,,P
"","","","","","","","","","","","","",64523-80409:Paolo Espino,64523-80409,P,Paolo,Paolo Espino,Espino,14.382352941176471,34,7700,WSH@CIN,WSH,CIN,,,,,,P
"","","","","","","","","","","","","",64523-119430:Joe Ryan,64523-119430,P,Joe,Joe Ryan,Ryan,34.75,4,7700,TOR@MIN,MIN,TOR,DTD,Personal,,,,P
"","","","","","","","","","","","","",64523-82618:David Peterson,64523-82618,P,David,David Peterson,Peterson,20,16,7700,NYM@MIL,NYM,MIL,IL,Toe,,,,P
"","","","","","","","","","","","","",64523-17087:Drew Smyly,64523-17087,P,Drew,Drew Smyly,Smyly,20.1,30,7700,ATL@SD,ATL,SD,,,,,,P
"","","","","","","","","","","","","",64523-71034:Seth Lugo,64523-71034,P,Seth,Seth Lugo,Lugo,5.840909090909091,44,7700,NYM@MIL,NYM,MIL,,,,,,P
"","","","","","","","","","","","","",64523-6311:Madison Bumgarner,64523-6311,P,Madison,Madison Bumgarner,Bumgarner,24.074074074074073,27,7600,LAD@ARI,ARI,LAD,,,,,,P
"","","","","","","","","","","","","",64523-79103:Dane Dunning,64523-79103,P,Dane,Dane Dunning,Dunning,21.24,25,7600,TEX@BAL,TEX,BAL,,,,,,P
"","","","","","","","","","","","","",64523-118180:Tucker Davidson,64523-118180,P,Tucker,Tucker Davidson,Davidson,24.5,4,7600,ATL@SD,ATL,SD,IL,Forearm,,,,P
"","","","","","","","","","","","","",64523-101804:Huascar Ynoa,64523-101804,P,Huascar,Huascar Ynoa,Ynoa,28.9375,16,7600,ATL@SD,ATL,SD,,,,Yes,,P
"","","","","","","","","","","","","",64523-53607:Anthony DeSclafani,64523-53607,P,Anthony,Anthony DeSclafani,DeSclafani,27.34375,32,7500,SF@COL,SF,COL,,,,Yes,,P
"","","","","","","","","","","","","",64523-80433:Dinelson Lamet,64523-80433,P,Dinelson,Dinelson Lamet,Lamet,12.421052631578947,19,7500,ATL@SD,SD,ATL,,,,,,P
"","","","","","","","","","","","","",64523-82535:Kyle Wright,64523-82535,P,Kyle,Kyle Wright,Wright,8,2,7500,ATL@SD,ATL,SD,,,,,,P
"","","","","","","","","","","","","",64523-68561:Luke Weaver,64523-68561,P,Luke,Luke Weaver,Weaver,24.75,12,7500,LAD@ARI,ARI,LAD,,,,,,P
"","","","","","","","","","","","","",64523-101819:Jose Suarez,64523-101819,P,Jose,Jose Suarez,Suarez,20.272727272727273,22,7500,SEA@LAA,LAA,SEA,,,,,,P
"","","","","","","","","","","","","",64523-68491:Reynaldo Lopez,64523-68491,P,Reynaldo,Reynaldo Lopez,Lopez,15.055555555555555,18,7400,CWS@CLE,CWS,CLE,,,,,,P
"","","","","","","","","","","","","",64523-102001:Yusei Kikuchi,64523-102001,P,Yusei,Yusei Kikuchi,Kikuchi,27.566666666666666,30,7400,SEA@LAA,SEA,LAA,,,,,,P
"","","","","","","","","","","","","",64523-5983:Rich Hill,64523-5983,P,Rich,Rich Hill,Hill,24.4,30,7400,NYM@MIL,NYM,MIL,,,,Yes,,P
"","","","","","","","","","","","","",64523-102502:Josiah Gray,64523-102502,P,Josiah,Josiah Gray,Gray,23.166666666666668,12,7300,WSH@CIN,WSH,CIN,,,,,,P
"","","","","","","","","","","","","",64523-16957:Dylan Bundy,64523-16957,P,Dylan,Dylan Bundy,Bundy,15.708333333333334,24,7300,SEA@LAA,LAA,SEA,IL,Shoulder,,,,P
"","","","","","","","","","","","","",64523-52155:Jon Gray,64523-52155,P,Jon,Jon Gray,Gray,25.96551724137931,29,7300,SF@COL,COL,SF,,,,Yes,,P
"","","","","","","","","","","","","",64523-38028:Alex Wood,64523-38028,P,Alex,Alex Wood,Wood,30.04,25,7300,SF@COL,SF,COL,,,,,,P
"","","","","","","","","","","","","",64523-83098:Austin Gomber,64523-83098,P,Austin,Austin Gomber,Gomber,25.375,24,7300,SF@COL,COL,SF,IL,Back,,,,P
